,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
30867,30867,华为平板M3,我也是秒杀里买的，为啥是*结果到手还没拆封，直接就降价到*有内存卡也是，*活动价，结果也变成*。。。你们这也太不保价了吧？还是说我直接退货重新下单呢。。。,1,2017-06-01 22:53:32,被***级,皓月银,32G,WIFI版,,钻石会员
30868,30868,华为平板M3,价保问题，华为旗舰店客服把我推给京东客服！而京东客服死了，半天不回复，投诉无门,1,2017-06-01 19:14:10,j***1,皓月银,32G,WIFI版,来自京东Android客户端,银牌会员
30869,30869,华为平板M3,产品没用还不知道  但是物流真是让人不痛快 ！,1,2017-06-01 16:23:39,s***仔,日晖金,64G,LTE版,来自京东Android客户端,金牌会员
30870,30870,华为平板M3,刚收货降*hellip;&hellip;不爽,1,2017-06-01 14:51:20,j***o,日晖金,32G,WIFI版,来自京东Android客户端,PLUS会员
30871,30871,华为平板M3,华为m3的质量不怎么样，视频话筒有回音，耗电也快！今天看到价格还便宜了120，申请价格保护还不让，说超过7天我才买了第9天，京东就是个坑！一星就不想给！,1,2017-06-01 09:56:38,j***2,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30872,30872,华为平板M3,坑。昨天刚买，今天就降价。差评,1,2017-06-01 00:31:37,小***-,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30873,30873,华为平板M3,很一般。。。。。。。。。。,1,2017-05-29 09:57:57,迷***_,皓月银,32G,WIFI版,来自京东Android客户端,银牌会员
30874,30874,华为平板M3,成天给我提示sd异常 但是sd卡插到其他机器又一点问题都没有 顺便华为对p10出现问题的态度 也就配一星 以后不会买华为的东西了,1,2017-05-28 10:08:39,j***z,日晖金,32G,WIFI版,来自京东iPhone客户端,PLUS会员
30875,30875,华为平板M3,有三点不满意：一是没有发票，连电子发票也没给，可以断定是假货;二是我刚拍了，还没发货就降价;三是没带个套，在本地体验店买同样的价送个皮套，还有其他乱七八糟的礼品！！！,1,2017-05-30 19:23:22,j***3,日晖金,32G,WIFI版,,金牌会员
30876,30876,华为平板M3,充电太慢，耗电太快。GPU不行，别的还行。价格波动频繁还不给保价，恶心的?东！,1,2017-05-30 17:44:35,春***天,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30877,30877,华为平板M3,"说好的送钢化膜，就是没送。
发信息也不理了。
*送鼠标键盘都没要买，就是相信京东，没想到京东办这样的事。",1,2017-05-27 22:37:06,j***i,皓月银,32G,LTE版,来自京东Android客户端,银牌会员
30878,30878,华为平板M3,平板很好，买来玩游戏的，很喜欢。但是赠的乐视的卡是假货吧，兑换码一刮就整个掉下来了，根本没有码，哪怕是说卡赠完了也好啊，本来就不是为了这个卡买的，但是发假货，京东没救了,1,2017-05-26 14:24:41,喵***_,日晖金,64G,WIFI版,来自京东Android客户端,银牌会员
30879,30879,华为平板M3,还没有提供发票,1,2017-05-20 22:29:54,g***1,皓月银,32G,WIFI版,来自京东iPhone客户端,PLUS会员
30880,30880,华为平板M3,要的是128G的，发的却是64G的,1,2017-05-20 20:56:07,j***w,日晖金,64G,LTE版,来自京东Android客户端,金牌会员
30881,30881,华为平板M3,系统不流畅，各种拖影，游戏呵呵，玩俄罗斯方块没有拖影很流畅，最主要是居然什么配件都没送，拿过来那么大一盒子，就装一平板，呵呵，朋友还问，送那么多东西啊，呵呵，就一块平板，支架都没有，看视频手扶着，皮套不用想，总之，产品一般，服务差评了,1,2017-05-20 09:51:36,胡***0,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30882,30882,华为平板M3,才买两天，打王者荣耀就中途重启,1,2017-05-19 21:16:12,j***x,日晖金,32G,WIFI版,,钻石会员
30883,30883,华为平板M3,第一次京东，以前都是天M购物，每年也是好几万消费，包装两面只有一个封条，缝那么大，送的VIP卡没见硬说送过了，如果送了，那绝对是这个缝掉出去了，以为会在其他装膜的盒子里，特意打的去单位垃圾桶翻，确定我就没有收到这卡，这个难道赖我？虽然不多好歹也是价值198的，失望了，彻底失望了，以后再也不相信京东了！,1,2017-05-30 17:23:54,j***q,皓月银,32G,LTE版,来自京东Android客户端,银牌会员
30884,30884,华为平板M3,本想支持国产的，不好用，特别是智能键，用起来不舒服，。反应也挺慢的，后悔了。。。。,1,2017-05-30 17:00:57,j***h,日晖金,32G,WIFI版,来自京东iPhone客户端,金牌会员
30885,30885,华为平板M3,我真不想说了，玛德 我的乐视会员呢？说好的赠品呢？玩呢？,1,2017-05-26 12:42:37,飞***7,皓月银,32G,LTE版,来自京东Android客户端,PLUS会员
30886,30886,华为平板M3,商品没问题，但我要说一下京东的服务。一开始买的时候显示到裕华区有货，于是就买了，结果买了以后物流直接显示需要调货，因为没遇到过这种情况，所以没在意，以为也就是两天的事，结果足足道到第七天才发货。期间各种和京东联系，一开始态度还可以，到后面直接不理人了。本来这个事情就是你们的错，既然没有货了可以显示需调货，为什么要显示有货来欺骗大家呢？为了销量？？而且明明大仓有多余的货不给发，这是你们的流程我不参与意见，但是我觉得你们这没货说有货的行为就是在欺骗顾客。,1,2017-05-25 10:13:33,j***d,日晖金,32G,WIFI版,来自京东Android客户端,银牌会员
30887,30887,华为平板M3,京东买的苹果手机自打买了就一直有问题后来问题越来越严重，没办法京东申请售后了，从3月18日开始返厂，中间经历了四次连续返厂，每次15到20天，到现在我都没拿到手机，我要求第四次检测后如果有问题进行多维换新，结果京东和苹果售后没有跟我取得任何联系的情况下再次给维修了，并且过后还很强硬的告诉我苹果不支持中国的三包政策多维换新，在京东买苹果的后果就是手机去维修还得准备个老人机备用，现在还不让我在苹果订单那评论了，忘京东有苹果订单的朋友帮忙转发评论,1,2017-05-24 17:25:05,3***伟,日晖金,32G,WIFI版,来自京东Android客户端,钻石会员
30888,30888,华为平板M3,摸着手感可以，就是下单时地址选错了，取消之后重新下单，就不送壳和膜了，联系客服一直推脱，也没有合理的解释,1,2017-05-24 17:08:13,j***k,日晖金,128G,WIFI版,来自京东iPhone客户端,PLUS会员
30889,30889,华为平板M3,第一次在京东评价，东西还没用，给妈妈买了看电视用的，暂不评论好坏，但是京东换购的活动是骗人的，噱头，我本来选择的是保护套，结果送过来却是保护膜，咨询了n个客服结果都说我选的就是保护膜，他们系统没问题，我想说没问题为什么选的时候是保护套，下单就变成保护膜？写这么多就是为了讲一件事京东存在欺诈客户的嫌疑，如果换购的商品不能如实相送，就请不要放在选项里让客户选。,1,2017-05-19 19:48:37,d***9,皓月银,32G,WIFI版,来自京东iPhone客户端,银牌会员
30890,30890,华为平板M3,清晰度比较差，送的东西都用不着，没有站在顾客角度考虑问题。,1,2017-05-19 10:28:31,Y***纬,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30891,30891,华为平板M3,不爽，没赠品。。。。。。。。。,1,2017-05-14 06:59:54,唯***忆,皓月银,32G,WIFI版,来自京东Android客户端,PLUS会员
30892,30892,华为平板M3,这家店铺就是骗人的，大家都别买，说好的有赠品，到货确说没有，说我这地区没活动！什么鬼，就是**,1,2017-05-13 19:16:13,这***丶,皓月银,32G,WIFI版,来自京东Android客户端,金牌会员
30893,30893,华为平板M3,垃圾，，操作不流畅下载视频下载不了,1,2017-05-13 11:06:34,j***h,皓月银,32G,WIFI版,来自京东Android客户端,金牌会员
30894,30894,华为平板M3,啥自营店，时而有赠品时而没有。退货还无比麻烦，算了没有就没有。但不可否认，内心不爽。。。。。购物过程不太满意,1,2017-05-12 21:32:59,逗***懂,日晖金,32G,WIFI版,来自京东Android客户端,银牌会员
30895,30895,华为平板M3,一星都不想给，用了一个月来评论的今天突然就老是重启没几分钟就重启下，没买的建议还是别买了，我不是托，真的很失望打王者掉一天段位,1,2017-05-21 22:50:42,j***9,日晖金,64G,WIFI版,来自手机QQ购物,金牌会员
30896,30896,华为平板M3,为什么没给我发票，,1,2017-05-21 12:45:09,j***f,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30897,30897,华为平板M3,*，外面塑纸拆开，打开盒盖，屏幕没有贴膜！！而且数据线是乱的，明显被拿出来过！！！第一次一星给你，懒得换了，以后买电子设备会考虑去实体店的,1,2017-05-16 11:52:29,j***b,日晖金,32G,WIFI版,来自京东iPhone客户端,金牌会员
30898,30898,华为平板M3,很客观的说，如果有准备入手这款平板的买家还是看看其他的吧，比如说苹果、小米什么的。说好的乐视会员根本不兑现，各种借口和理由&hellip;&hellip;,1,2017-05-16 08:48:53,褚***1,日晖金,32G,WIFI版,来自京东iPhone客户端,PLUS会员
30899,30899,华为平板M3,还可以。。。。。,1,2017-05-12 08:13:03,j***a,日晖金,32G,WIFI版,来自京东Android客户端,银牌会员
30900,30900,华为平板M3,物流很慢  态度很差  建议大家不要买,1,2017-05-09 08:14:58,就***哥,皓月银,32G,WIFI版,来自京东Android客户端,银牌会员
30901,30901,华为平板M3,必须差评，一颗星都不想给，帮同事购买的，店大欺客，说好的三样赠品一样都没有，联系客服不承认，已打12315投诉，希望有当时赠品截图的能够联系我。,1,2017-05-08 15:40:39,s***y,日晖金,32G,WIFI版,来自京东Android客户端,PLUS会员
30902,30902,华为平板M3,什么鬼呀，买个这个到了你看没耳机，一问告诉我128G的才给，那怎么不早说，再说这别的就不是买的了，那你怎么不不给充电器，到时就说128G的才给充电器呢不得了，坑，买了就后悔,1,2017-05-07 22:14:39,j***1,皓月银,32G,LTE版,来自京东Android客户端,PLUS会员
30903,30903,华为平板M3,半月不到，屏就摔坏了，打电话话换屏最少六到七百，哭,1,2017-05-14 17:35:19,j***y,日晖金,64G,WIFI版,来自京东Android客户端,金牌会员
30904,30904,华为平板M3,刚好两个月白屏了。,1,2017-05-11 17:30:59,j***7,日晖金,32G,WIFI版,来自京东Android客户端,金牌会员
30905,30905,华为平板M3,为啥问供应商问题直接无法点开，什么意思,1,2017-05-06 15:28:21,妮***虹,日晖金,64G,WIFI版,来自京东Android客户端,银牌会员
30906,30906,华为平板M3,差评，真差，不是一般的差，不要买这家的，就一个裸机，标记带壳子和钢化膜了，什么都没带。,1,2017-05-05 23:12:58,g***6,皓月银,32G,LTE版,来自京东Android客户端,银牌会员
30907,30907,华为平板M3,出了问题我连你们赠品乐视会员卡一起退了，可惜返回来赠品又没有了，能说什么，5.1收货时候屏幕失灵，退货了还遇到这种事，京东人品有问题,1,2017-05-05 15:22:34,逗***强,日晖金,32G,WIFI版,来自京东Android客户端,钻石会员
30908,30908,华为平板M3,坑死了这明明应该叫平板手机不带这么欺骗消费者的,1,2017-05-05 03:01:30,j***i,日晖金,32G,WIFI版,来自京东iPhone客户端,PLUS会员
